date;cpi;gdp
01.08.2018;100.13000;2.20208
01.09.2018;100.81000;2.82099
01.10.2018;100.51000;1.76567
01.11.2018;100.56000;2.08589
01.12.2018;100.78000;2.59744
01.01.2019;100.88000;1.73793
01.02.2019;101.34000;1.82763
01.03.2019;100.38000;2.37357
01.04.2019;100.04000;2.24438
01.05.2019;100.33000;1.97703
01.06.2019;99.94000;2.05503
01.07.2019;100.19000;2.14990
01.08.2019;99.77000;2.20017
01.09.2019;100.46000;2.85484
01.10.2019;100.54000;1.80782
01.11.2019;100.23000;2.11301
01.12.2019;100.54000;2.65685
01.01.2020;100.86000;1.71012
01.02.2020;101.00000;1.84118
01.03.2020;100.85000;2.39377
01.04.2020;100.58000;2.14842
01.05.2020;99.85000;1.91464
01.06.2020;100.19000;2.02420
01.07.2020;100.19000;2.13202
01.08.2020;100.17000;2.23563
01.09.2020;100.94000;2.84571
01.10.2020;100.59000;1.81278
01.11.2020;100.66000;2.11944
01.12.2020;101.23000;2.63825
01.01.2021;101.14000;1.74261
01.02.2021;101.94000;1.85485
01.03.2021;100.69000;2.43678
01.04.2021;100.74000;2.31824
01.05.2021;100.55000;2.02595
01.06.2021;100.65000;2.12316
01.07.2021;100.07000;2.18684
01.08.2021;100.18000;2.23635
01.09.2021;101.33000;2.87903
01.10.2021;100.89000;1.78111
01.11.2021;100.51000;2.14925
01.12.2021;100.87000;2.70157
01.01.2022;101.53000;1.78966
01.02.2022;101.57000;1.85097
01.03.2022;106.05000;2.36947
01.04.2022;101.57000;2.15027
01.05.2022;100.72000;1.84444
01.06.2022;101.13000;1.94672
01.07.2022;100.50000;1.95842
01.08.2022;100.05000;2.16860
01.09.2022;100.87000;2.77469
01.10.2022;99.00000;1.71720
01.11.2022;98.90000;2.04824
01.12.2022;100.42000;2.57460
01.01.2023;100.76000;1.70018
01.02.2023;101.26000;1.80939
01.03.2023;100.55000;2.37432
01.04.2023;100.35000;2.22752
01.05.2023;99.72000;1.98821
01.06.2023;100.30000;2.09094
;;
;;
