,date,IPV
0,2009-03-31,8327.800000000001
1,2009-06-30,6858.366666666666
2,2009-09-30,6867.433333333333
3,2009-12-31,7202.233333333334
4,2010-03-31,8910.733333333334
5,2010-06-30,7718.099999999999
6,2010-09-30,7762.466666666667
7,2010-12-31,8287.5
8,2011-03-31,9953.266666666668
9,2011-06-30,8521.333333333334
10,2011-09-30,8380.133333333333
11,2011-12-31,8797.699999999999
12,2012-03-31,10998.366666666667
13,2012-06-30,9490.0
14,2012-09-30,8299.933333333334
15,2012-12-31,8932.033333333333
16,2013-03-31,10745.4
17,2013-06-30,8759.5
18,2013-09-30,7959.133333333334
19,2013-12-31,8408.0
20,2014-03-31,10455.266666666666
21,2014-06-30,8835.1
22,2014-09-30,8420.866666666667
23,2014-12-31,8878.266666666668
24,2015-03-31,9733.866666666667
25,2015-06-30,8129.033333333333
26,2015-09-30,7880.833333333333
27,2015-12-31,8430.833333333334
28,2016-03-31,9422.4
29,2016-06-30,8190.433333333334
30,2016-09-30,7693.3
31,2016-12-31,8731.766666666666
32,2017-03-31,9836.966666666667
33,2017-06-30,8850.199999999999
34,2017-09-30,8187.899999999999
35,2017-12-31,9239.133333333333
36,2018-03-31,10761.633333333333
37,2018-06-30,9383.133333333333
38,2018-09-30,8557.800000000001
39,2018-12-31,9470.133333333333
40,2019-03-31,10858.5
41,2019-06-30,9306.4
42,2019-09-30,8738.566666666668
43,2019-12-31,9650.9
44,2020-03-31,10565.333333333334
45,2020-06-30,8974.466666666667
46,2020-09-30,8843.4
47,2020-12-31,9901.333333333334
48,2021-03-31,11537.300000000001
49,2021-06-30,10034.6
50,2021-09-30,9053.566666666666
51,2021-12-31,10147.533333333333
52,2022-03-31,11560.4
53,2022-06-30,8889.800000000001
54,2022-09-30,8307.133333333333
55,2022-12-31,9813.966666666667
56,2023-03-31,11768.466666666667
57,2023-06-30,9908.699999999999
58,2023-09-30,9409.5
59,2023-12-31,10454.633333333333
60,2024-03-31,12533.466666666667
61,2024-06-30,10682.866666666667
